person_id,contact_date,fc_num,sex,race,age,build,hair_style,ethnicity,skin_tone,deceased,license_type,license_state,was_frisked
30750626451,2022-01-01 00:00:00.0000000,FC22000008,Male,Black,NULL,NULL,NULL,NULL,NULL,0,,NULL,0
30745256091,2022-01-01 02:30:00.0000000,FC22000001,Male,Black,25,Thin,Short,Not of Hispanic Origin,Brown,0,Personal Driver License,MA,1
30747685932,2022-01-01 09:29:00.0000000,FC22000004,Male,Black,39,Medium,Bald or Balding,Not of Hispanic Origin,Medium Brown,0,Class D,MA,1
30747687157,2022-01-01 09:29:00.0000000,FC22000004,Female,Black,35,NULL,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,NULL
30747589299,2022-01-01 10:16:00.0000000,FC22000003,Male,White,54,Medium,NULL,Not of Hispanic Origin,NULL,0,,NULL,0
30747590767,2022-01-01 10:16:00.0000000,FC22000003,Female,White,44,NULL,NULL,Unknown,NULL,0,ID Only - Never had Personal Driver License,MA,0
30747698277,2022-01-01 10:29:00.0000000,FC22000005,Female,White,31,NULL,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,0
30747702696,2022-01-01 10:29:00.0000000,FC22000005,Male,Black,35,Medium,Short,NULL,Medium Brown,0,Class D,MA,0
30747811746,2022-01-01 11:50:00.0000000,FC22000006,Male,White,39,Medium,Short,Not of Hispanic Origin,NULL,0,Class D,MA,0
30749667345,2022-01-01 19:35:00.0000000,FC22000007,Male,Black,40,NULL,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,1
30749678082,2022-01-01 19:35:00.0000000,FC22000007,Female,Black,41,NULL,NULL,Not of Hispanic Origin,NULL,0,,MA,0
30749688290,2022-01-01 19:35:00.0000000,FC22000007,Female,Black,38,NULL,NULL,Not of Hispanic Origin,NULL,0,,NULL,0
30750696903,2022-01-01 23:59:00.0000000,FC22000009,Male,White,31,NULL,NULL,Not of Hispanic Origin,NULL,0,,PA,0
30750707095,2022-01-01 23:59:00.0000000,FC22000009,Male,White,28,NULL,NULL,Hispanic Origin,NULL,0,,PA,0
30755953239,2022-01-02 01:06:00.0000000,FC22000016,Male,Black,42,NULL,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,NULL
30756011728,2022-01-02 01:06:00.0000000,FC22000016,Male,Black,48,NULL,NULL,Not of Hispanic Origin,NULL,0,,NULL,0
30752170884,2022-01-02 01:15:00.0000000,FC22000010,Unknown,Unknown,NULL,NULL,NULL,NULL,NULL,0,,NULL,0
30752977600,2022-01-02 09:45:00.0000000,FC22000012,Male,White,67,Thin,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,0
