person_id,contact_date,fc_num,sex,race,age,build,hair_style,ethnicity,skin_tone,deceased,license_type,license_state,was_frisked
22898085580,2021-04-13 13:25:00.0000000,FC20002332,Male,Black,28,Stocky,NULL,Not of Hispanic Origin,NULL,0,,MA,0
22898090756,2021-04-13 13:25:00.0000000,FC20002332,Male,Black,20,Thin,Afro,Unknown,Light,0,ID Only - Never had Personal Driver License,MA,0
19256173492,2021-01-01 22:12:00.0000000,FC20006178,Male,White,24,Muscular,NULL,Hispanic Origin,NULL,0,,MA,1
19256175412,2021-01-01 22:12:00.0000000,FC20006178,Male,White,20,Thin,NULL,Hispanic Origin,NULL,0,,MA,1
19256179180,2021-01-01 22:12:00.0000000,FC20006178,Male,White,26,Thin,NULL,Hispanic Origin,NULL,0,,MA,1
19256181428,2021-01-01 22:12:00.0000000,FC20006178,Male,Black,21,Medium,Straight,Hispanic Origin,Light,0,No License - Record Only,MA,1
19254932430,2021-01-01 09:17:00.0000000,FC21000001,Male,Asian,44,Thin,NULL,Not of Hispanic Origin,NULL,0,,MA,0
19255439588,2021-01-01 14:46:00.0000000,FC21000003,Female,White,20,NULL,NULL,Hispanic Origin,NULL,0,Class D,RI,0
19255552632,2021-01-01 14:42:00.0000000,FC21000004,Female,White,43,Thin,NULL,Not of Hispanic Origin,NULL,0,,MA,NULL
19255554034,2021-01-01 14:42:00.0000000,FC21000004,Male,Black,26,Thin,Curly,NULL,NULL,0,,MA,1
19255554328,2021-01-01 14:42:00.0000000,FC21000004,Male,Black,25,Stocky,NULL,NULL,Medium Brown,0,,MA,1
19255955847,2021-01-01 20:35:00.0000000,FC21000006,Male,White,37,NULL,NULL,Hispanic Origin,NULL,0,,NULL,1
19255956755,2021-01-01 18:08:00.0000000,FC21000007,Female,Unknown,22,NULL,NULL,Unknown,NULL,0,CDL Class B,MA,0
19256289778,2021-01-02 00:25:00.0000000,FC21000008,Male,White,21,Unknown,NULL,Hispanic Origin,NULL,0,No License - Record Only,MA,0
19256418317,2021-01-02 00:17:00.0000000,FC21000009,Male,White,58,Medium,NULL,Not of Hispanic Origin,NULL,0,,MA,0
19256528047,2021-01-02 02:31:00.0000000,FC21000011,Male,Black,53,Medium,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,0
19256532865,2021-01-02 02:31:00.0000000,FC21000011,Male,White,38,NULL,NULL,Unknown,NULL,0,Class D,MA,1
19256590134,2021-01-02 03:32:00.0000000,FC21000012,Male,Unknown,34,NULL,NULL,NULL,NULL,0,,NULL,0
19256777570,2021-01-02 04:25:00.0000000,FC21000013,Male,Black,30,Medium,Corn Rows,NULL,Medium Brown,0,,MA,1
19256777988,2021-01-02 04:25:00.0000000,FC21000013,Female,Black,35,Medium,NULL,Not of Hispanic Origin,NULL,0,,MA,1
19256778240,2021-01-02 04:25:00.0000000,FC21000013,Male,Black,23,NULL,NULL,Unknown,NULL,0,Class D,MA,1
19256778306,2021-01-02 04:25:00.0000000,FC21000013,Female,Black,32,NULL,NULL,Unknown,NULL,0,Class D,MA,1
19257029392,2021-01-02 09:07:00.0000000,FC21000014,Male,Black,39,Medium,Afro,Not of Hispanic Origin,Dark Brown,0,"ID - Had a License, now has ID",MA,1
19257281509,2021-01-02 13:15:00.0000000,FC21000015,Female,White,34,Heavy,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,0
19257283827,2021-01-02 13:15:00.0000000,FC21000015,Male,White,35,Medium,NULL,Not of Hispanic Origin,NULL,0,,MA,1
19257422503,2021-01-02 02:30:00.0000000,FC21000016,Male,Black,40,Heavy,NULL,Not of Hispanic Origin,NULL,0,None,MA,0
19257899648,2021-01-02 17:40:00.0000000,FC21000017,Male,Black,33,Medium,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,1
19257903230,2021-01-02 17:40:00.0000000,FC21000017,Male,Black,34,NULL,NULL,Not of Hispanic Origin,NULL,0,,MA,1
19257833979,2021-01-02 17:21:00.0000000,FC21000018,Male,Black,53,Medium,NULL,Not of Hispanic Origin,Dark,0,None,MA,1
19257834149,2021-01-02 17:21:00.0000000,FC21000018,Male,White,59,Thin,NULL,Not of Hispanic Origin,NULL,0,,MA,1
19258061953,2021-01-02 19:45:00.0000000,FC21000019,Female,Black,34,NULL,NULL,Unknown,NULL,0,,NULL,0
19258174738,2021-01-01 22:36:00.0000000,FC21000020,Male,Black,24,Thin,Short,Not of Hispanic Origin,NULL,0,Class D,MA,0
19258178341,2021-01-01 22:36:00.0000000,FC21000020,Male,Black,27,Muscular,Wavy,NULL,Medium,0,Class D,MA,0
19258186121,2021-01-01 22:36:00.0000000,FC21000020,Male,Black,24,NULL,NULL,Unknown,NULL,0,Class D,MA,0
19258718235,2021-01-01 23:52:00.0000000,FC21000022,Male,Black,18,NULL,NULL,Unknown,NULL,0,,NULL,1
19258723706,2021-01-01 23:52:00.0000000,FC21000022,Male,Black,18,NULL,NULL,Unknown,NULL,0,Class D,VA,1
19258726377,2021-01-01 23:52:00.0000000,FC21000022,Male,White,19,NULL,NULL,Unknown,NULL,0,Class D,MA,1
19259204191,2021-01-03 10:30:00.0000000,FC21000023,Male,Black,32,NULL,NULL,Not of Hispanic Origin,NULL,0,Class D,MA,0
19259432787,2021-01-03 10:30:00.0000000,FC21000023,Male,Black,26,Medium,Short,Not of Hispanic Origin,Light Brown,0,ID Only - Never had Personal Driver License,MA,0
19259391218,2021-01-03 12:12:00.0000000,FC21000025,Female,White,36,Heavy,Straight,Not of Hispanic Origin,NULL,0,,MA,0
19259424900,2021-01-03 14:00:00.0000000,FC21000026,Female,White,43,Thin,NULL,Not of Hispanic Origin,NULL,0,,MA,NULL
